a,неопределенныйартикль
tournament,турнир
tow,буксировать/тянуть/тащить
toward,к/на
towards,к/внаправлении
towel,полотенце
tower,башня
towers,Башни
town,город(неcity)
towns,Города
toy,игрушка/играть/забавляться
toys,игрушки(отtoy)
trace,следить/чертить
traced,Прослеженный
traces,Следы
track,след/тропа/колея
tracks,Следы
trade,торговать/ремесло/занятие/профессия
trading,торговля
traditional,традиционный
traditionally,традиционно
traffic,уличноедвижение
tragedy,трагедия
tragic,трагический
trail,след(неtrace)
trailer,прицепкавтомобилю
train,поезд/привлекать/воспитывать
trained,обученный
trainer,тренер
training,тренировка/обучение
trains,поезда(отtrain)
traitor,изменник/предатель
tram,трамвай
tramp,бродить/громкотопать/бродяга
tranquilizer,Транквилизатор
transaction,дело/сделка/ведение(дел)/труды/протоколы(общества)t-
transactions,Сделки
transfer,передача/переносить
transformation,преобразование
translate,переводить/объяснять
translating,перевести(отtranslate)
translation,перевод
transmission,передача
transmitted,Переданный
transparent,прозрачный
transport,транспорт/перевозить
transportation,перевозка
trap,ловушка/западня
trapdoor,люк
trapes,Западниt-
travel,путешествовать
travelled,путешествовал/многопутешествовавший(отtravel)
traveller,путешественник
travelling,путешествие/путешествующий-ing
travels,Путешествия
traverse,пересекать
tray,поднос
treacherous,предательский/вероломный
tread,ступать/наступать
treasure,сокровище
treasurer,Казначей
treasures,Сокровища
treasury,сокровищница
treat,удовольствие/лечить/относиться
treated,лечил(отtreat)
treatment,обращение/обработка
tree,дерево(tree)
trek,поход/переход(неpass)
tremble,дрожать/дрожь
tremendous,громадный/значительныйt-
trend,общеенаправление/тенденция
trespass,преступать/нарушатьграницу(владения)
